WEEK,Recording Dates,Tech & Full Dress Camera Reharsal, Airing Dates,EPISODE, CONTESTANTS,FORMAT,REMARKS,Performances,Eliminations,Golden mic,Going forward,Phase
Week 15,Tuesday 30 December 2025,,Saturday 3 January 2026,Episode 29,5 solos,"Judges score for all 11 contestants. 

At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 14) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",11-1= 10 contestants proceed to the next round ,,,,,Gala
Week 15,Wednesday 31 December 2025,,Sunday 4 January 2026,Episode 30,6 solos,"Judges score for all 11 contestants. 

At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, the contestant with lowest viewer votes from previous week (Week 14) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",11-1= 10 contestants proceed to the next round ,,,,,Gala
Week 16,Tuesday 6 January 2026,,Saturday 10 January 2026,Episode 31,5 solos,"Judges score for all 10 contestants. 

 At the end of weekend's episode, Bottom 3 are announced as per the judges score but anchor will announce no elimination for that week and double elimination for next week
Continue to ask for Viewer Votes",NO ELIMINATION WEEK,,,,,Gala
Week 16,Wednesday 7 January 2026,,Sunday 11 January 2026,Episode 32,5 solos,"Judges score for all 10 contestants. 

 At the end of weekend's episode, Bottom 3 are announced as per the judges score but anchor will announce no elimination for that week and double elimination for next week
Continue to ask for Viewer Votes",NO ELIMINATION WEEK,,,,,Gala
Week 17,Thursday 8 January 2026,,Saturday 17 January 2026,Episode 33,5 solos,"Judges score for all 10 contestants.

 At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, 2 contestants with lowest viewer votes from previous weeks (Week 15 & 16) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",10-2= 8 contestants proceed to the next round ,,,,,Gala
Week 17,Friday 9 January 2026,,Sunday 18 January 2026,Episode 34,5 solos,"Judges score for all 10 contestants.

 At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, 2 contestants with lowest viewer votes from previous weeks (Week 15 & 16) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",10-2= 8 contestants proceed to the next round ,,,,,Gala
Week 18,Tuesday 20 January 2026,,Saturday 24 January 2026,Episode 35,4 duets ,"Judges score for all 8 contestants 
Although the contestants performed in duets, they will be scored individually

At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, onecontestant with lowest viewer votes from previous week (Week 17) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",8-1 =7  contestants proceed to the next round ,,,,,Gala
Week 18,Wednesday 21 January 2026,,Sunday 25 January 2026,Episode 36,4 duets ,"Judges score for all 8 contestants 
Although the contestants performed in duets, they will be scored individually

At the end of weekend's episode, Bottom 3 are announced as per the judges score.
 
From these Bottom 3, onecontestant with lowest viewer votes from previous week (Week 17) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",8-1 =7  contestants proceed to the next round ,,,,,Gala
Week 19,Tuesday 27 January 2026,,Saturday 31 January 2026,Episode 37,7 Solos,"POWER PLAY WEEK 

The Top 7 contestants will continue to perform and ask for viewer votes to become the winner.","NO ELIMINATION WEEK

TOP 7",,,,,Gala
Week 19,Wednesday 28 January 2026,,Sunday 1 February 2026,Episode 38,7 solos ,"POWER PLAY WEEK 

The Top 7 contestants will continue to perform and ask for viewer votes to become the winner.","NO ELIMINATION WEEK

TOP 8",,,,,Gala
Week 20,Tuesday 3 February 2026,,Saturday 7 February 2026,Episode 39,"FINALE WEEK
Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of 
the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. 
The Finale Week will be a mix of performances of contestants, special guests and judges","FINALE WEEK
Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of 
the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. 
The Finale Week will be a mix of performances of contestants, special guests and judges","Top 7 perform for one last time. On basis of audience votes, top 3 will be decalared. 
7-4= 3

From Top 3 we will announce WINNER on basis of audience Votes.
",,,,,Gala
Week 20,Wednesday 4 February 2026,,Sunday 8 February 2026,Episode 40,"FINALE WEEK
Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of 
the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. 
The Finale Week will be a mix of performances of contestants, special guests and judges","FINALE WEEK
Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of 
the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. 
The Finale Week will be a mix of performances of contestants, special guests and judges","Top 7 perform for one last time. On basis of audience votes, top 3 will be decalared. 
7-4= 3

From Top 3 we will announce WINNER on basis of audience Votes.
",,,,,Gala
,,,,,,,,,,,,
,,,,,,,,,,,,
Note,,,,,,,,,,,,
,15th Sep to 4 Feb recording on set start to end with Gaps,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
