episode_id,episode_no,phase,city,week,record_start,record_end,record_venue,air_start,air_end,channel,performances_planned,performances_locked,golden_mics_available,golden_mics_used,voting_enabled,format_summary,notes,updated_by
ep-110,11,Workshop Round,Studio,Week 6,2025-10-10 10:00:00,2025-10-10 18:00:00,Studio,2025-11-01 20:00:00,2025-11-01 22:00:00,Geo TV,5,0,1,0,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 boys perform in piano round 2 eliminations 3 going forward,admin@pakistanidol.com
ep-111,12,Workshop Round,Studio,Week 6,2025-10-11 10:00:00,2025-10-11 18:00:00,Studio,2025-11-02 20:00:00,2025-11-02 22:00:00,Geo TV,5,0,1,1,false,"Each act gets approximately 10 minutes which includes pre-chat performance and post-chat. Songs must be limited to 3–4 minutes. Each week one Golden Mic will be given — those contestants will earn a direct spot in the Top 16. Some contestants will be eliminated while others will be given another opportunity during the final week of the Piano Round.",5 girls perform in piano round 2 eliminations 1 golden mic 3 going forward,admin@pakistanidol.com
ep-112,13,Workshop Round,Studio,Week 7,2025-10-13 10:00:00,2025-10-13 18:00:00,Studio,2025-11-08 20:00:00,2025-11-08 22:00:00,Geo TV,10,0,0,0,false,"Six Golden Mics are given during the Auditions and Piano Round leaving ten spots still open in the Top 16. Twenty contestants will perform again for a chance to earn those remaining spots. We get our Top 16(8 Boys + 8Girls) at the end of Episode 14.",20 People (10 boys + 10 girls) 5 eliminations 5 going forward,admin@pakistanidol.com
ep-113,14,Workshop Round,Studio,Week 7,2025-10-14 10:00:00,2025-10-14 18:00:00,Studio,2025-11-09 20:00:00,2025-11-09 22:00:00,Geo TV,10,0,0,0,false,"Six Golden Mics are given during the Auditions and Piano Round leaving ten spots still open in the Top 16. Twenty contestants will perform again for a chance to earn those remaining spots. We get our Top 16(8 Boys + 8Girls) at the end of Episode 14.",10 contestants 5 eliminations 5 going forward,admin@pakistanidol.com
ep-114,15,Gala,Studio,Week 8,2025-11-10 10:00:00,2025-11-10 18:00:00,Studio,2025-11-15 20:00:00,2025-11-15 22:00:00,Geo TV,8,0,0,0,false,"SHOWCASE EPISODE Top 16 Contestants perform for the first time in an Introduction episode","No scoring No voting",admin@pakistanidol.com
ep-115,16,Gala,Studio,Week 8,2025-11-11 10:00:00,2025-11-11 18:00:00,Studio,2025-11-16 20:00:00,2025-11-16 22:00:00,Geo TV,8,0,0,0,false,"SHOWCASE EPISODE Top 16 Contestants perform for the first time in an Introduction episode","No scoring No voting",admin@pakistanidol.com
ep-116,17,Gala,Studio,Week 9,2025-11-12 10:00:00,2025-11-12 18:00:00,Studio,2025-11-22 20:00:00,2025-11-22 22:00:00,Geo TV,8,0,0,0,true,"Top 16 contestants performs The Top 16 contestants perform for the audience. There will be no judge scores in this round — public voting begins. Voting lines will remain open for a limited time.","No scoring Public voting begins",admin@pakistanidol.com
ep-117,18,Gala,Studio,Week 9,2025-11-13 10:00:00,2025-11-13 18:00:00,Studio,2025-11-23 20:00:00,2025-11-23 22:00:00,Geo TV,8,0,0,0,true,"Top 16 contestants performs The Top 16 contestants perform for the audience. There will be no judge scores in this round — public voting begins. Voting lines will remain open for a limited time.","No scoring Public voting begins",admin@pakistanidol.com
ep-118,19,Gala,Studio,Week 10,2025-11-25 10:00:00,2025-11-25 18:00:00,Studio,2025-11-29 20:00:00,2025-11-29 22:00:00,Geo TV,8,0,0,0,true,"Judges score for all 16 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 9) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",16-1 = 15 contestants proceed to the next round,admin@pakistanidol.com
ep-119,20,Gala,Studio,Week 10,2025-11-26 10:00:00,2025-11-26 18:00:00,Studio,2025-11-30 20:00:00,2025-11-30 22:00:00,Geo TV,8,0,0,0,true,"Judges score for all 16 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 9) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",16-1 = 15 contestants proceed to the next round,admin@pakistanidol.com
ep-120,21,Gala,Studio,Week 11,2025-12-02 10:00:00,2025-12-02 18:00:00,Studio,2025-12-06 20:00:00,2025-12-06 22:00:00,Geo TV,7,0,0,0,true,"Judges score for all 15 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 10) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",15-1 = 14 contestants proceed to the next round,admin@pakistanidol.com
ep-121,22,Gala,Studio,Week 11,2025-12-03 10:00:00,2025-12-03 18:00:00,Studio,2025-12-07 20:00:00,2025-12-07 22:00:00,Geo TV,8,0,0,0,true,"Judges score for all 15 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 10) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",15-1 = 14 contestants proceed to the next round,admin@pakistanidol.com
ep-122,23,Gala,Studio,Week 12,2025-12-09 10:00:00,2025-12-09 18:00:00,Studio,2025-12-13 20:00:00,2025-12-13 22:00:00,Geo TV,7,0,0,0,true,"Judges score for all 14 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 11) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",14- 1= 13 contestants proceed to the next round,admin@pakistanidol.com
ep-123,24,Gala,Studio,Week 12,2025-12-10 10:00:00,2025-12-10 18:00:00,Studio,2025-12-14 20:00:00,2025-12-14 22:00:00,Geo TV,7,0,0,0,true,"Judges score for all 14 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 11) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",14- 1= 13 contestants proceed to the next round,admin@pakistanidol.com
ep-124,25,Gala,Studio,Week 13,2025-12-16 10:00:00,2025-12-16 18:00:00,Studio,2025-12-20 20:00:00,2025-12-20 22:00:00,Geo TV,6,0,0,0,true,"Judges score for all 13 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 12) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",13-1 = 12 contestants proceed to the next round,admin@pakistanidol.com
ep-125,26,Gala,Studio,Week 13,2025-12-17 10:00:00,2025-12-17 18:00:00,Studio,2025-12-21 20:00:00,2025-12-21 22:00:00,Geo TV,7,0,0,0,true,"Judges score for all 13 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 12) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",13-1 = 12 contestants proceed to the next round,admin@pakistanidol.com
ep-126,27,Gala,Studio,Week 14,2025-12-23 10:00:00,2025-12-23 18:00:00,Studio,2025-12-27 20:00:00,2025-12-27 22:00:00,Geo TV,6,0,0,0,true,"Judges score for all 12 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 13) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",12- 1= 11 contestants proceed to the next round,admin@pakistanidol.com
ep-127,28,Gala,Studio,Week 14,2025-12-24 10:00:00,2025-12-24 18:00:00,Studio,2025-12-28 20:00:00,2025-12-28 22:00:00,Geo TV,6,0,0,0,true,"Judges score for all 12 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 13) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",12- 1= 11 contestants proceed to the next round,admin@pakistanidol.com
ep-128,29,Gala,Studio,Week 15,2025-12-30 10:00:00,2025-12-30 18:00:00,Studio,2026-01-03 20:00:00,2026-01-03 22:00:00,Geo TV,5,0,0,0,true,"Judges score for all 11 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 14) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",11-1= 10 contestants proceed to the next round,admin@pakistanidol.com
ep-129,30,Gala,Studio,Week 15,2025-12-31 10:00:00,2025-12-31 18:00:00,Studio,2026-01-04 20:00:00,2026-01-04 22:00:00,Geo TV,6,0,0,0,true,"Judges score for all 11 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 the contestant with lowest viewer votes from previous week (Week 14) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",11-1= 10 contestants proceed to the next round,admin@pakistanidol.com
ep-130,31,Gala,Studio,Week 16,2026-01-06 10:00:00,2026-01-06 18:00:00,Studio,2026-01-10 20:00:00,2026-01-10 22:00:00,Geo TV,5,0,0,0,true,"Judges score for all 10 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score but anchor will announce no elimination for that week and double elimination for next week Continue to ask for Viewer Votes",NO ELIMINATION WEEK,admin@pakistanidol.com
ep-131,32,Gala,Studio,Week 16,2026-01-07 10:00:00,2026-01-07 18:00:00,Studio,2026-01-11 20:00:00,2026-01-11 22:00:00,Geo TV,5,0,0,0,true,"Judges score for all 10 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score but anchor will announce no elimination for that week and double elimination for next week Continue to ask for Viewer Votes",NO ELIMINATION WEEK,admin@pakistanidol.com
ep-132,33,Gala,Studio,Week 17,2026-01-08 10:00:00,2026-01-08 18:00:00,Studio,2026-01-17 20:00:00,2026-01-17 22:00:00,Geo TV,5,0,0,0,true,"Judges score for all 10 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 2 contestants with lowest viewer votes from previous weeks (Week 15 & 16) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",10-2= 8 contestants proceed to the next round,admin@pakistanidol.com
ep-133,34,Gala,Studio,Week 17,2026-01-09 10:00:00,2026-01-09 18:00:00,Studio,2026-01-18 20:00:00,2026-01-18 22:00:00,Geo TV,5,0,0,0,true,"Judges score for all 10 contestants. At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 2 contestants with lowest viewer votes from previous weeks (Week 15 & 16) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",10-2= 8 contestants proceed to the next round,admin@pakistanidol.com
ep-134,35,Gala,Studio,Week 18,2026-01-20 10:00:00,2026-01-20 18:00:00,Studio,2026-01-24 20:00:00,2026-01-24 22:00:00,Geo TV,4,0,0,0,true,"Judges score for all 8 contestants Although the contestants performed in duets they will be scored individually At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 onecontestant with lowest viewer votes from previous week (Week 17) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",4 duets 8-1 =7 contestants proceed to the next round,admin@pakistanidol.com
ep-135,36,Gala,Studio,Week 18,2026-01-21 10:00:00,2026-01-21 18:00:00,Studio,2026-01-25 20:00:00,2026-01-25 22:00:00,Geo TV,4,0,0,0,true,"Judges score for all 8 contestants Although the contestants performed in duets they will be scored individually At the end of weekend's episode Bottom 3 are announced as per the judges score. From these Bottom 3 onecontestant with lowest viewer votes from previous week (Week 17) will be eliminated from the competition + contestants Continue to ask for Viewer Votes",4 duets 8-1 =7 contestants proceed to the next round,admin@pakistanidol.com
ep-136,37,Gala,Studio,Week 19,2026-01-27 10:00:00,2026-01-27 18:00:00,Studio,2026-01-31 20:00:00,2026-01-31 22:00:00,Geo TV,7,0,0,0,true,"POWER PLAY WEEK The Top 7 contestants will continue to perform and ask for viewer votes to become the winner.","NO ELIMINATION WEEK TOP 7",admin@pakistanidol.com
ep-137,38,Gala,Studio,Week 19,2026-01-28 10:00:00,2026-01-28 18:00:00,Studio,2026-02-01 20:00:00,2026-02-01 22:00:00,Geo TV,7,0,0,0,true,"POWER PLAY WEEK The Top 7 contestants will continue to perform and ask for viewer votes to become the winner.","NO ELIMINATION WEEK TOP 8",admin@pakistanidol.com
ep-138,39,Gala,Studio,Week 20,2026-02-03 10:00:00,2026-02-03 18:00:00,Studio,2026-02-07 20:00:00,2026-02-07 22:00:00,Geo TV,7,0,0,0,true,"FINALE WEEK Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. The Finale Week will be a mix of performances of contestants special guests and judges","Top 7 perform for one last time. On basis of audience votes top 3 will be decalared. 7-4= 3 From Top 3 we will announce WINNER on basis of audience Votes.",admin@pakistanidol.com
ep-139,40,Gala,Studio,Week 20,2026-02-04 10:00:00,2026-02-04 18:00:00,Studio,2026-02-08 20:00:00,2026-02-08 22:00:00,Geo TV,7,0,0,0,true,"FINALE WEEK Non-Live/ LIVE Grand Finale week where there will be dramatic buildup leading to the announcement of the Winner of PAKISTAN IDOL based on viewer votes of week 18 & 19. The Finale Week will be a mix of performances of contestants special guests and judges","Top 7 perform for one last time. On basis of audience votes top 3 will be decalared. 7-4= 3 From Top 3 we will announce WINNER on basis of audience Votes.",admin@pakistanidol.com
